City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Mitsamiouli,KM,-11.3847,43.2844,78.12,75,3,3.53,clear sky
121,Yar-Sale,RU,66.8333,70.8333,65.03,30,3,20.02,clear sky
122,Dingle,PH,10.9995,122.6711,88.61,62,77,7.56,broken clouds
123,Maragogi,BR,-9.0122,-35.2225,73.8,91,47,9.8,light rain
124,Mao,ES,39.8885,4.2658,68.56,83,0,3.44,clear sky
125,Iqaluit,CA,63.7506,-68.5145,40.73,87,100,12.66,overcast clouds
126,Palmer,US,42.1584,-72.3287,68.61,74,100,8.05,overcast clouds
127,Padang,ID,-0.9492,100.3543,84.25,63,73,4.97,broken clouds
128,Clyde River,CA,70.4692,-68.5914,30.43,93,100,29.93,light snow
129,Karratha,AU,-20.7377,116.8463,82.62,27,69,13.69,broken clouds
130,Kavaratti,IN,10.5669,72.642,82.94,75,100,15.37,overcast clouds
131,Teguldet,RU,57.3064,88.1667,62.26,92,100,4.85,moderate rain
132,Lloydminster,CA,53.2835,-110.0016,57.42,82,100,18.41,overcast clouds
133,Grindavik,IS,63.8424,-22.4338,46.87,81,75,14.97,broken clouds
134,Margate,GB,51.3813,1.3862,58.69,86,26,1.43,scattered clouds
135,East London,ZA,-33.0153,27.9116,52.74,54,0,14.97,clear sky
136,Ayagoz,KZ,47.9714,80.4392,70.59,38,0,7.18,clear sky
137,Pringsewu,ID,-5.3582,104.9744,87.64,58,79,3.27,broken clouds
138,Lensk,RU,60.7253,114.9278,80.67,25,53,5.66,broken clouds
139,Goderich,CA,43.7501,-81.7165,84.52,58,35,12.66,scattered clouds
140,Luderitz,NA,-26.6481,15.1594,61.41,37,2,14.72,clear sky
141,Vaini,TO,-21.2,-175.2,78.96,78,75,6.91,broken clouds
142,Aklavik,CA,68.2191,-135.0107,57.33,42,6,12.68,clear sky
143,Kavieng,PG,-2.5744,150.7967,82.76,76,80,11.88,light rain
144,Pangody,RU,65.85,74.4859,64.76,56,94,22.77,overcast clouds
145,Itabirito,BR,-20.2533,-43.8014,54.57,93,6,2.55,clear sky
146,Oktyabrskoye,RU,43.0645,44.7417,64.54,88,94,2.24,overcast clouds
147,San Rafael Del Sur,NI,11.8485,-86.4384,72.57,87,100,8.86,overcast clouds
148,Kaitangata,NZ,-46.2817,169.8464,46.02,89,100,12.53,overcast clouds
149,Shingu,JP,33.7333,135.9833,77.49,70,100,12.93,overcast clouds
