City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,At-Bashi,KG,60.71,moderate rain,41.1702,75.8106,Hostel At-Bashy
313,Caceres,ES,68.41,overcast clouds,39.522,-6.3748,Ahc Hoteles
314,Caravelas,BR,67.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
315,Zheleznodorozhnyy,RU,61.56,scattered clouds,55.7503,38.0042,Hotel Dali
317,Lompoc,US,60.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
320,Krasnoborsk,RU,61.83,scattered clouds,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
325,Sorland,NO,46.26,clear sky,67.667,12.6934,Sjybrygga fiskecamp
330,Half Moon Bay,US,64.45,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
331,Ardabil,IR,62.15,scattered clouds,38.2498,48.2933,Hotel ideal
344,Esso,RU,52.7,light rain,55.9333,158.7,Paramushir Tur
345,Lima,PE,59.25,clear sky,-12.0432,-77.0282,Hotel Kamana
348,Peterhead,GB,55.8,overcast clouds,57.5058,-1.7981,Palace Hotel
353,Marsabit,KE,63.84,overcast clouds,2.3284,37.9899,Chicho Hotel
358,Kiruna,SE,41.92,broken clouds,67.8557,20.2251,Camp Ripan
362,Capitao Poco,BR,68.27,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
363,Hanna,CA,55.85,broken clouds,51.6334,-111.9018,West View Motel
364,Baker City,US,54.59,clear sky,44.7749,-117.8344,Bridge Street Inn
365,Antofagasta,CL,58.28,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
366,Ust-Tsilma,RU,63.77,overcast clouds,65.441,52.1498,U Praskov'i
373,Skibbereen,IE,56.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
375,Chapais,CA,65.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
378,Rognan,NO,49.75,overcast clouds,67.0953,15.3878,Rognan Hotell
379,Saldanha,ZA,42.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
380,Leshukonskoye,RU,61.81,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
383,Pozo Colorado,PY,64.76,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
385,Abai,PY,59.18,clear sky,-26.0333,-55.9333,Bar Y Hospedaje Lucas Amín
389,Hofn,IS,48.54,clear sky,64.2539,-15.2082,Hótel Höfn
392,Codrington,AU,57.65,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
393,Flin Flon,CA,50.81,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
400,Sept-Iles,CA,66.2,clear sky,50.2001,-66.3821,Comfort Inn
402,Khasan,RU,62.92,broken clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
403,Santa Cruz,BO,63.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
408,Sitka,US,64.29,clear sky,57.0531,-135.33,Westmark Sitka
410,Vengerovo,RU,57.69,overcast clouds,55.6848,76.7471,Gostinitsa
412,Verkhnevilyuysk,RU,62.42,light rain,63.4453,120.3167,Gostinitsa Mila
415,Kaeo,NZ,63.32,few clouds,-35.1,173.7833,Bushido Lodge
