City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Ust-Karsk,RU,52.7011,118.8077,79.18,32,63,1.97,broken clouds
174,Maningrida,AU,-12.0667,134.2667,85.98,41,80,12.77,broken clouds
175,Whitehorse,CA,60.7161,-135.0538,72.01,33,49,5.99,scattered clouds
176,Wanning,CN,18.8003,110.3967,86.59,74,72,15.59,broken clouds
177,Buraydah,SA,26.326,43.975,83.05,19,0,4.63,clear sky
178,Zhuhai,CN,22.2769,113.5678,87.58,84,40,12.66,moderate rain
179,Livramento,BR,-3.0254,-60.1803,75.88,94,0,2.3,clear sky
180,Kosh-Agach,RU,50.0,88.6667,56.23,41,0,5.08,clear sky
181,Lagoa,PT,39.05,-27.9833,65.37,89,0,7.92,clear sky
182,Asau,RO,46.4333,26.4,52.72,79,16,5.91,few clouds
183,Kautokeino,NO,69.0125,23.0412,39.6,84,13,2.68,few clouds
184,Ongandjera,NA,-17.8833,15.0667,57.85,39,2,6.73,clear sky
185,Torbay,CA,47.6666,-52.7314,49.28,81,0,5.01,clear sky
186,Terney,RU,45.0503,136.6092,63.34,73,92,5.23,overcast clouds
187,Sabang,ID,5.8933,95.3214,81.45,76,99,5.41,overcast clouds
188,Faanui,PF,-16.4833,-151.75,80.4,71,0,15.3,clear sky
189,Genhe,CN,50.7833,121.5167,75.42,23,2,4.59,clear sky
190,Dosso,NE,13.049,3.1937,80.92,59,100,5.26,overcast clouds
191,Chokurdakh,RU,70.6333,147.9167,48.52,52,82,12.08,broken clouds
192,Jeremie,HT,18.65,-74.1167,80.62,79,99,5.44,overcast clouds
193,Chuy,UY,-33.6971,-53.4616,54.75,94,100,6.49,light rain
194,Pobe,BJ,6.9801,2.6649,71.26,97,99,2.3,overcast clouds
195,Codrington,AU,-38.2667,141.9667,56.41,78,100,6.62,overcast clouds
196,Yarmouth,US,41.7057,-70.2286,65.14,90,100,13.8,overcast clouds
197,Tual,ID,-5.6667,132.75,82.49,76,21,16.51,few clouds
198,Korsakov,RU,46.6328,142.7813,69.64,79,6,9.01,clear sky
199,Solwezi,ZM,-12.1688,26.3894,50.76,65,1,4.41,clear sky
200,Yubari,JP,43.0378,141.9578,64.9,97,100,0.54,overcast clouds
201,Pandamatenga,BW,-18.5278,25.627,50.7,31,0,5.19,clear sky
202,Fort Smith,US,35.3859,-94.3986,87.84,71,0,3.44,clear sky
203,Mons-En-Baroeul,FR,50.6333,3.1167,65.66,67,0,3.44,clear sky
204,Rio Grande,BR,-32.035,-52.0986,55.94,87,100,6.04,light rain
205,Peruibe,BR,-24.32,-46.9983,60.44,92,3,3.8,clear sky
206,Ancud,CL,-41.8697,-73.8203,42.22,74,9,8.21,clear sky
207,Baykit,RU,61.67,96.37,72.05,64,100,9.82,light rain
208,Hasaki,JP,35.7333,140.8333,77.29,81,100,9.78,moderate rain
209,The Valley,AI,18.217,-63.0578,82.26,78,100,14.2,overcast clouds
210,Hervey Bay,AU,-25.2986,152.8535,67.62,40,78,7.0,broken clouds
211,Dzhebariki-Khaya,RU,62.2167,135.8,70.45,46,88,0.96,overcast clouds
212,Verkhnyaya Inta,RU,65.9811,60.3094,62.37,62,100,5.53,overcast clouds
213,Omboue,GA,-1.5746,9.2618,71.44,88,96,4.9,overcast clouds
214,Palmer,US,42.1584,-72.3287,66.43,77,100,12.66,overcast clouds
215,Husavik,IS,66.0449,-17.3389,52.29,65,100,6.02,overcast clouds
216,Narsaq,GL,60.9167,-46.05,43.02,74,100,2.08,overcast clouds
217,Mopti,ML,14.6667,-4.0,84.18,48,98,6.02,overcast clouds
218,Uda,RO,44.9167,24.5667,55.51,86,65,3.6,broken clouds
219,Teruel,ES,40.6667,-0.6667,66.87,50,100,3.96,overcast clouds
220,Abadan,IR,30.3392,48.3043,90.77,16,0,19.6,clear sky
221,Lodja,CD,-3.4833,23.4333,69.6,74,3,1.86,clear sky
222,Maun,BW,-19.9833,23.4167,47.89,27,3,4.99,clear sky
223,Colares,PT,38.7992,-9.4469,66.76,75,100,10.0,overcast clouds
224,Angoche,MZ,-16.2325,39.9086,73.42,74,3,10.16,clear sky
225,Athabasca,CA,54.7169,-113.2854,60.33,81,100,10.8,overcast clouds
226,Gushikawa,JP,26.3544,127.8686,81.99,85,75,16.11,broken clouds
227,Castro,BR,-24.7911,-50.0119,55.38,85,31,3.56,scattered clouds
228,Isangel,VU,-19.55,169.2667,81.09,79,100,13.49,overcast clouds
